Comment,Designator,Footprint,LCSC
33nF,"C13,C254,C270,C286,C302,C318,C334,C350,C366,C382,C398,C414,C430,C446,C462,C478,C494,C510,C526,C542",C_0402_1005Metric,C1585
10uF ,"C1711,C1908,C1909,C1910,C1911,C1912,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921",C_0805_2012Metric,C15850
1nF,"C1050,C1074,C1098,C1122,C1146,C1170,C1194,C1218,C1242,C1266,C1290,C1314,C1338,C1362,C1386,C1410,C1434,C1458,C1482,C707",C_0603_1608Metric,C1588
150pF,"C1000,C1011,C1022,C1033,C1044,C1507,C1514,C1521,C1528,C1535,C708,C956,C967,C978,C989",C_0603_1608Metric,C1594
1.5nF,"C1051,C1075,C1099,C1123,C1147,C1171,C1195,C1219,C1243,C1267,C1291,C1315,C1339,C1363,C1387,C1411,C1435,C1459,C1483,C709",C_0603_1608Metric,C1595
15nF,"C1059,C1083,C1107,C1131,C1155,C1179,C1203,C1227,C1251,C1275,C1299,C1323,C1347,C1371,C1395,C1419,C1443,C1467,C1491,C710",C_0603_1608Metric,C1596
200pF,"C1001,C1012,C1023,C1034,C1045,C1508,C1515,C1522,C1529,C1536,C711,C957,C968,C979,C990",C_0603_1608Metric,C1600
220pF,"C1002,C1013,C1024,C1035,C1046,C1509,C1516,C1523,C1530,C1537,C712,C958,C969,C980,C991",C_0603_1608Metric,C1603
2.2nF,"C1052,C1076,C1100,C1124,C1148,C1172,C1196,C1220,C1244,C1268,C1292,C1316,C1340,C1364,C1388,C1412,C1436,C1460,C1484,C713",C_0603_1608Metric,C1604
2.7nF,"C1053,C1077,C1101,C1125,C1149,C1173,C1197,C1221,C1245,C1269,C1293,C1317,C1341,C1365,C1389,C1413,C1437,C1461,C1485,C714",C_0603_1608Metric,C1609
3.3nF,"C1054,C1078,C1102,C1126,C1150,C1174,C1198,C1222,C1246,C1270,C1294,C1318,C1342,C1366,C1390,C1414,C1438,C1462,C1486,C715",C_0603_1608Metric,C1613
330nF,"C1066,C1090,C1114,C1138,C1162,C1186,C1210,C1234,C1258,C1282,C1306,C1330,C1354,C1378,C1402,C1426,C1450,C1474,C1498,C716",C_0603_1608Metric,C1615
470pF,"C1004,C1015,C1026,C1037,C1048,C1511,C1518,C1525,C1532,C1539,C717,C960,C971,C982,C993",C_0603_1608Metric,C1620
47nF,"C1062,C1086,C1110,C1134,C1158,C1182,C1206,C1230,C1254,C1278,C1302,C1326,C1350,C1374,C1398,C1422,C1446,C1470,C1494,C718",C_0603_1608Metric,C1622
470nF,"C1067,C1091,C1115,C1139,C1163,C1187,C1211,C1235,C1259,C1283,C1307,C1331,C1355,C1379,C1403,C1427,C1451,C1475,C1499,C719",C_0603_1608Metric,C1623
680pF,"C1005,C1016,C1027,C1038,C1049,C1512,C1519,C1526,C1533,C1540,C720,C961,C972,C983,C994",C_0603_1608Metric,C1630
6.8nF,"C1056,C1080,C1104,C1128,C1152,C1176,C1200,C1224,C1248,C1272,C1296,C1320,C1344,C1368,C1392,C1416,C1440,C1464,C1488,C721",C_0603_1608Metric,C1631
10pF,"C722,C799,C807,C815,C823,C831,C839,C847,C855,C863,C871,C879,C887,C895,C903,C911,C919,C927,C935,C943",C_0603_1608Metric,C1634
15pF,"C723,C801,C809,C817,C825,C833,C841,C849,C857,C865,C873,C881,C889,C897,C905,C913,C921,C929,C937,C945",C_0603_1608Metric,C1644
18pF,"C724,C802,C810,C818,C826,C834,C842,C850,C858,C866,C874,C882,C890,C898,C906,C914,C922,C930,C938,C946",C_0603_1608Metric,C1647
20pF,"C725,C803,C811,C819,C827,C835,C843,C851,C859,C867,C875,C883,C891,C899,C907,C915,C923,C931,C939,C947",C_0603_1608Metric,C1648
22pF,"C726,C804,C812,C820,C828,C836,C844,C852,C860,C868,C876,C884,C892,C900,C908,C916,C924,C932,C940,C948",C_0603_1608Metric,C1653
30pF,"C727,C806,C814,C822,C830,C838,C846,C854,C862,C870,C878,C886,C894,C902,C910,C918,C926,C934,C942,C950",C_0603_1608Metric,C1658
33pF,"C1006,C1017,C1028,C1039,C728,C951,C962,C973,C984,C995",C_0603_1608Metric,C1663
330pF,"C1003,C1014,C1025,C1036,C1047,C1510,C1517,C1524,C1531,C1538,C729,C959,C970,C981,C992",C_0603_1608Metric,C1664
4.7pF,"C730,C755,C760,C765,C770,C775,C780,C785,C790,C795",C_0603_1608Metric,C1669
47pF,"C1007,C1018,C1029,C1040,C731,C952,C963,C974,C985,C996",C_0603_1608Metric,C1671
220nF,"C257,C273,C289,C305,C321,C33,C337,C353,C369,C385,C401,C417,C433,C449,C465,C481,C497,C513,C529,C545",C_0402_1005Metric,C16772
47uF ,"C1714,C1950,C1951,C1952,C1953,C1954,C1955,C1956,C1957,C1958,C1959,C1960,C1961,C1962,C1963",C_0805_2012Metric,C16780
6.8pF,"C732,C757,C762,C767,C772,C777,C782,C787,C792,C797",C_0603_1608Metric,C1679
8.2pF,"C733,C758,C763,C768,C773,C778,C783,C788,C793,C798",C_0603_1608Metric,C1685
10nF ,"C1699,C1760,C1761,C1762,C1763,C1764,C1765,C1766,C1767,C1768",C_0805_2012Metric,C1710
150pF ,"C1563,C1652,C1653,C1654,C1655,C1656,C1657,C1658,C1659,C1660,C1661,C1662,C1663,C1664,C1665",C_0805_2012Metric,C1716
1.5nF ,"C1695,C1724,C1725,C1726,C1727,C1728,C1729,C1730,C1731,C1732",C_0805_2012Metric,C1717
22nF ,"C1700,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1777",C_0805_2012Metric,C1729
33nF ,"C1701,C1778,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786",C_0805_2012Metric,C1739
330nF ,"C1706,C1838,C1839,C1840,C1841,C1842,C1843,C1844,C1845,C1846,C1847,C1848,C1849,C1850,C1851",C_0805_2012Metric,C1740
470pF ,"C1565,C1680,C1681,C1682,C1683,C1684,C1685,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693",C_0805_2012Metric,C1743
4.7nF ,"C1697,C1742,C1743,C1744,C1745,C1746,C1747,C1748,C1749,C1750",C_0805_2012Metric,C1744
6.8nF ,"C1698,C1751,C1752,C1753,C1754,C1755,C1756,C1757,C1758,C1759",C_0805_2012Metric,C1755
4.7uF ,"C1710,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1901,C1902,C1903,C1904,C1905,C1906,C1907",C_0805_2012Metric,C1779
100pF ,"C1562,C1638,C1639,C1640,C1641,C1642,C1643,C1644,C1645,C1646,C1647,C1648,C1649,C1650,C1651",C_0805_2012Metric,C1790
12pF ,"C1541,C1566,C1567,C1568,C1569,C1570,C1571,C1572,C1573,C1574",C_0805_2012Metric,C1792
18pF ,"C1556,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592",C_0805_2012Metric,C1797
20pF ,"C1557,C1593,C1594,C1595,C1596,C1597,C1598,C1599,C1600,C1601",C_0805_2012Metric,C1798
22pF ,"C1558,C1602,C1603,C1604,C1605,C1606,C1607,C1608,C1609,C1610",C_0805_2012Metric,C1804
10nF,"C1542,C2002,C2011,C2020,C2029,C2038,C2047,C2056,C2065,C2074,C2083,C2092,C2101,C2110,C2119",C_1206_3216Metric,C1846
1uF,"C1548,C2005,C2014,C2023,C2032,C2041,C2050,C2059,C2068,C2077,C2086,C2095,C2104,C2113,C2122",C_1206_3216Metric,C1848
220nF,"C1545,C2004,C2013,C2022,C2031,C2040,C2049,C2058,C2067,C2076,C2085,C2094,C2103,C2112,C2121",C_1206_3216Metric,C1857
1N5819WS,"D107,D108,D109,D110,D111,D112,D113,D114,D115,D12,D138,D19,D26,D33,D356,D357,D358,D359,D360,D361,D362,D363,D364,D365,D366,D367,D368,D369,D370,D371,D372,D373,D374,D375,D376,D377,D378,D379,D380,D381,D382,D383,D384,D385,D386,D387,D388,D389,D390,D391,D392,D393,D394,D395,D396,D397,D398,D399,D40,D400,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D47,D54,D61,D68,D7",D_SOD-323,C191023
4.7uF,"C1070,C1094,C1118,C1142,C1166,C1190,C1214,C1238,C1262,C1286,C1310,C1334,C1358,C1382,C1406,C1430,C1454,C1478,C1502,C734",C_0603_1608Metric,C19666
10uF,"C1071,C1095,C1119,C1143,C1167,C1191,C1215,C1239,C1263,C1287,C1311,C1335,C1359,C1383,C1407,C1431,C1455,C1479,C1503,C735",C_0603_1608Metric,C19702
33nF,"C1061,C1085,C1109,C1133,C1157,C1181,C1205,C1229,C1253,C1277,C1301,C1325,C1349,C1373,C1397,C1421,C1445,C1469,C1493,C736",C_0603_1608Metric,C21117
220nF,"C1065,C1089,C1113,C1137,C1161,C1185,C1209,C1233,C1257,C1281,C1305,C1329,C1353,C1377,C1401,C1425,C1449,C1473,C1497,C737",C_0603_1608Metric,C21120
22nF,"C1060,C1084,C1108,C1132,C1156,C1180,C1204,C1228,C1252,C1276,C1300,C1324,C1348,C1372,C1396,C1420,C1444,C1468,C1492,C738",C_0603_1608Metric,C21122
